game_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,incorrect
20150301CLEHOU,CLE,HOU,20150301,Tony Brown,Dan Crawford,Michael Smith,103,105,L2M-CLE-HOU-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010HOU.html,3
20150301GSWBOS,GSW,BOS,20150301,James Capers,Mark Lindsay,Violet Palmer,106,101,L2M-GSW-BOS-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010BOS.html,2
20150301NOPDEN,NOP,DEN,20150301,Ron Garretson,David Guthrie,Dedric Taylor,99,92,L2M-NOP-DEN-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010DEN.html,1
20150302GSWBKN,GSW,BKN,20150302,Nick Buchert,Jason Phillips,Haywoode Workman,108,110,L2M-GSW-BKN-3-2-15.pdf,http://www.basketball-reference.com/boxscores/201503020BRK.html,
20150302LACMIN,LAC,MIN,20150302,Josh Tiven,Justin Van Duyne,Sean Wright,110,105,L2M-LAC-MIN-3-2-15.pdf,http://www.basketball-reference.com/boxscores/201503020MIN.html,4
20150303HOUATL,HOU,ATL,20150303,Derek Richardson,Leroy Richardson,Bennett Salvatore,96,104,L2M-HOU-ATL-3-3-15.pdf,http://www.basketball-reference.com/boxscores/201503030ATL.html,
20150303LALCHA,LAL,CHA,20150303,Curtis Blair,John Goble,Kevin Scott,103,104,L2M-LAL-CHA-3-3-15.pdf,http://www.basketball-reference.com/boxscores/201503030CHO.html,1
20150303WASCHI,WAS,CHI,20150303,Courtney Kirkland,Tre Maddox,Tom Washington,92,97,L2M-WAS-CHI-3-3-15.pdf,http://www.basketball-reference.com/boxscores/201503030CHI.html,4
20150304CLETOR,CLE,TOR,20150304,Jason Phillips,Haywoode Workman,Sean Wright,120,112,L2M-CLE-TOR-3-4-15.pdf,http://www.basketball-reference.com/boxscores/201503040TOR.html,
20150304DETNOP,DET,NOP,20150304,Marc Davis,Marat Kogut,Mark Lindsay,85,88,L2M-DET-NOP-3-4-15.pdf,http://www.basketball-reference.com/boxscores/201503040NOP.html,
20150304LALMIA,LAL,MIA,20150304,Nick Buchert,Dan Crawford,Dedric Taylor,94,100,L2M-LAL-MIA-3-4-15.pdf,http://www.basketball-reference.com/boxscores/201503040MIA.html,1
20150304MEMHOU,MEM,HOU,20150304,Karl Lane,Ken Mauer,Josh Tiven,102,100,L2M-MEM-HOU-3-4-15.pdf,http://www.basketball-reference.com/boxscores/201503040HOU.html,3
20150304PHIOKC,PHI,OKC,20150304,Eric Lewis,Monty McCutchen,Justin Van Duyne,118,123,L2M-PHI-OKC-3-4-15.pdf,http://www.basketball-reference.com/boxscores/201503040OKC.html,1
20150304PORLAC,POR,LAC,20150304,Scott Foster,David Guthrie,Gary Zielinski,98,93,L2M-POR-LAC-3-4-151.pdf,http://www.basketball-reference.com/boxscores/201503040LAC.html,5
20150305OKCCHI,OKC,CHI,20150305,Sean Corbin,Eric Dalen,Marc Davis,105,108,L2M-OKC@CHI-3-5-15-V2.pdf,http://www.basketball-reference.com/boxscores/201503050CHI.html,1
20150306LALMEM,LAL,MEM,20150306,David Jones,Leroy Richardson,James Williams,90,97,L2M-LAL@MEM-3-6-15.pdf,http://www.basketball-reference.com/boxscores/201503060MEM.html,2
20150306MIAWAS,MIA,WAS,20150306,Mark Ayotte,Jason Phillips,Haywoode Workman,97,99,L2M-MIA@WAS-3-6-15.pdf,http://www.basketball-reference.com/boxscores/201503060WAS.html,1
20150306PHOBKN,PHO,BKN,20150306,Derrick Collins,Pat Fraher,Tom Washington,108,100,L2M-PHX@BKN-3-6-15.pdf,http://www.basketball-reference.com/boxscores/201503060BRK.html,5
20150306SACORL,SAC,ORL,20150306,Karl Lane,Monty McCutchen,Dedric Taylor,114,119,L2M-SAC@ORL-3-6-15.pdf,http://www.basketball-reference.com/boxscores/201503060ORL.html,1
20150307ATLPHI,ATL,PHI,20150307,Mark Lindsay,Jason Phillips,Haywoode Workman,84,92,L2M-ATL-PHI-3-7-15.pdf,http://www.basketball-reference.com/boxscores/201503070PHI.html,
20150307INDNYK,IND,NYK,20150307,Courtney Kirkland,Derek Richardson,Bill Spooner,92,86,L2M-IND-NYK-3-7-15.pdf,http://www.basketball-reference.com/boxscores/201503070NYK.html,1
20150307MEMNOP,MEM,NOP,20150307,Dan Crawford,David Guthrie,Gary Zielinski,89,95,L2M-MEM-NOP-3-7-15.pdf,http://www.basketball-reference.com/boxscores/201503070NOP.html,2
20150307SACMIA,SAC,MIA,20150307,Marc Davis,Lauren Holtkamp,Scott Wall,109,114,L2M-SAC-MIA-3-7-15.pdf,http://www.basketball-reference.com/boxscores/201503070MIA.html,1
20150307WASMIL,WAS,MIL,20150307,Curtis Blair,Derrick Collins,Ed Malloy,85,91,L2M-WAS-MIL-3-7-15.pdf,http://www.basketball-reference.com/boxscores/201503070MIL.html,1
20150309NOPMIL,NOP,MIL,20150309,Kane Fitzgerald,Derek Richardson,Zach Zarba,114,103,L2M-NOP-MIL-3-9-15.pdf,http://www.basketball-reference.com/boxscores/201503090MIL.html,1
20150310DETLAL,DET,LAL,20150310,James Capers,Kevin Scott,Michael Smith,85,93,L2M-DET-LAL-3-10-15.pdf,http://www.basketball-reference.com/boxscores/201503100LAL.html,1
20150310NYKUTA,NYK,UTA,20150310,Steve Anderson,Scott Foster,Eric Lewis,82,87,L2M-NYK-UTA-3-10-15.pdf,http://www.basketball-reference.com/boxscores/201503100UTA.html,
20150311CHIPHI,CHI,PHI,20150311,Bennie Adams,Tony Brown,Leon Wood,104,95,L2M-CHI-PHI-3-11-15.pdf,http://www.basketball-reference.com/boxscores/201503110PHI.html,4
20150311MEMBOS,MEM,BOS,20150311,Courtney Kirkland,Derek Richardson,Bill Spooner,92,95,L2M-MEM-BOS-3-11-15.pdf,http://www.basketball-reference.com/boxscores/201503110BOS.html,2
20150311ORLMIL,ORL,MIL,20150311,Bill Kennedy,Tre Maddox,Gary Zielinski,91,97,L2M-ORL-MIL-3-11-15.pdf,http://www.basketball-reference.com/boxscores/201503110MIL.html,
20150312CLESAS,CLE,SAS,20150312,Eric Lewis,Derrick Stafford,Dedric Taylor,128,125,L2M-CLE-SAS-3-12-15.pdf,http://www.basketball-reference.com/boxscores/201503120SAS.html,2
20150312MILIND,MIL,IND,20150312,Pat Fraher,Marat Kogut,Bennett Salvatore,103,109,L2M-MIL-IND-3-12-15.pdf,http://www.basketball-reference.com/boxscores/201503120IND.html,3
20150313ORLBOS,ORL,BOS,20150313,Ken Mauer,Ben Taylor,Leon Wood,88,95,L2M-ORL-BOS-3-13-151.pdf,http://www.basketball-reference.com/boxscores/201503130BOS.html,2
20150314DETUTA,DET,UTA,20150314,Marc Davis,Eli Roe,Scott Wall,85,88,L2M-DET-UTA-3-14-15.pdf,http://www.basketball-reference.com/boxscores/201503140UTA.html,1
20150315CHIOKC,CHI,OKC,20150315,Dan Crawford,David Jones,Karl Lane,100,109,L2M-CHI-OKC-3-15-15.pdf,http://www.basketball-reference.com/boxscores/201503150OKC.html,1
20150315DENNOP,DEN,NOP,20150315,Scott Foster,Tre Maddox,Michael Smith,118,111,L2M-DEN-NOP-3-15-151.pdf,http://www.basketball-reference.com/boxscores/201503150NOP.html,10
20150315HOULAC,HOU,LAC,20150315,Brent Barnaky,Brian Forte,Monty McCutchen,100,98,L2M-HOU-LAC-3-15-152.pdf,http://www.basketball-reference.com/boxscores/201503150LAC.html,1
