play_id,ref_1,ref_2,ref_3,video,box_score_url,original_pdf,game_id
20150302LACMIN-7,Josh Tiven,Justin Van Duyne,Sean Wright,http://official.nba.com/last-two-minute-report/?gameNo=0021400888&eventNum=528,http://www.basketball-reference.com/boxscores/201503020MIN.html,L2M-LAC-MIN-3-2-15.pdf,20150302LACMIN
20150303WASCHI-3,Courtney Kirkland,Tre Maddox,Tom Washington,http://official.nba.com/last-two-minute-report/?gameNo=0021400893&eventNum=504,http://www.basketball-reference.com/boxscores/201503030CHI.html,L2M-WAS-CHI-3-3-15.pdf,20150303WASCHI
20150304LALMIA-5,Nick Buchert,Dan Crawford,Dedric Taylor,http://official.nba.com/last-two-minute-report/?gameNo=0021400905&eventNum=551,http://www.basketball-reference.com/boxscores/201503040MIA.html,L2M-LAL-MIA-3-4-15.pdf,20150304LALMIA
20150306LALMEM-10,David Jones,Leroy Richardson,James Williams,http://official.nba.com/last-two-minute-report/?gameNo=0021400918&eventNum=488,http://www.basketball-reference.com/boxscores/201503060MEM.html,L2M-LAL@MEM-3-6-15.pdf,20150306LALMEM
20150306MIAWAS-1,Mark Ayotte,Jason Phillips,Haywoode Workman,http://official.nba.com/last-two-minute-report/?gameNo=0021400920&eventNum=491,http://www.basketball-reference.com/boxscores/201503060WAS.html,L2M-MIA@WAS-3-6-15.pdf,20150306MIAWAS
20150307SACMIA-16,Marc Davis,Lauren Holtkamp,Scott Wall,http://official.nba.com/last-two-minute-report/?gameNo=0021400925&eventNum=583,http://www.basketball-reference.com/boxscores/201503070MIA.html,L2M-SAC-MIA-3-7-15.pdf,20150307SACMIA
20150307WASMIL-2,Curtis Blair,Derrick Collins,Ed Malloy,http://official.nba.com/last-two-minute-report/?gameNo=0021400929&eventNum=452,http://www.basketball-reference.com/boxscores/201503070MIL.html,L2M-WAS-MIL-3-7-15.pdf,20150307WASMIL
20150311CHIPHI-16,Bennie Adams,Tony Brown,Leon Wood,http://official.nba.com/last-two-minute-report/?gameNo=0021400953&eventNum=583,http://www.basketball-reference.com/boxscores/201503110PHI.html,L2M-CHI-PHI-3-11-15.pdf,20150311CHIPHI
20150312MILIND-17,Pat Fraher,Marat Kogut,Bennett Salvatore,http://official.nba.com/last-two-minute-report/?gameNo=0021400962&eventNum=584,http://www.basketball-reference.com/boxscores/201503120IND.html,L2M-MIL-IND-3-12-15.pdf,20150312MILIND
20150316LALGSW-3,Derrick Stafford,Josh Tiven,James Williams,http://official.nba.com/last-two-minute-report/?gameNo=0021400999&eventNum=497,http://www.basketball-reference.com/boxscores/201503160GSW.html,L2M-LAL@GSW-3-16-15..pdf,20150316LALGSW
20150319MINNYK-22,Kevin Cutler,David Jones,Eric Lewis,http://official.nba.com/last-two-minute-report/?gameNo=0021401016&eventNum=560,http://www.basketball-reference.com/boxscores/201503190NYK.html,L2M-MIN@NYK-3-19-15.pdf,20150319MINNYK
20150322DALPHO-8,Tre Maddox,Derrick Stafford,Josh Tiven,http://official.nba.com/last-two-minute-report/?gameNo=0021401046&eventNum=522,http://www.basketball-reference.com/boxscores/201503220PHO.html,L2M-DAL-PHX-3-22-15.pdf,20150322DALPHO
